,imf,pwt,un,wb
1980,3996821000.0,4067792482.9999995,4458411534.000004,8825374468.0
1981,4069095000.0,4143257370.9999995,4537845777.0,8980779766.0
1982,4144355000.0000014,4220377104.0,4618776168.000001,9142153716.0
1983,4218710999.9999986,4299388723.0,4701530842.999999,9304925530.0
1984,4292474000.0,4380569063.0,4786483861.999999,9467242720.0
1985,4368624000.0,4464010935.0,4873781796.000003,9632857418.0
1986,4447161999.999998,4549851998.0,4963633227.999999,9803859686.0
1987,4527179000.000001,4637781818.0,5055636132.000001,9979354370.0
1988,4605501999.999999,4726781921.0,5148556956.000003,10156683574.0
1989,4835870000.0,4826846620.0,5240735117.0,10334289560.0
1990,5015736000.0,5239442279.999999,5330943460.0,10529289096.0
1991,5108294999.999999,5326300724.000001,5418758802.999997,10703248498.0
1992,5259801000.000001,5411361085.0,5504401148.999994,10870868498.0
1993,5345955000.0,5494457088.0,5588094837.000006,11040353002.0
1994,5429938999.999996,5575928110.0,5670319702.999998,11207628828.0
1995,5521547999.999998,5656075811.0,5751474416.0,11376978676.0
1996,5606768000.0,5734866822.0,5831565020.0,11542254694.0
1997,5692230000.000002,5812519911.0,5910566294.999999,11707528316.0
1998,5814615000.0,5888806959.0,5988846102.999996,11870802920.0
1999,5891897999.999997,5963963694.0,6066867391.000002,12032114556.0
2000,5970855000.000002,6039892935.0,6145006989.0,12191781526.0
2001,6069124000.000003,6115883983.0,6223412157.999998,12350593994.0
2002,6145467000.000002,6191986714.0,6302149639.000003,12508722491.765745
2003,6250785999.999997,6268457045.0,6381408986.999998,12667393821.797853
2004,6329186000.000005,6345574766.0,6461370865.000003,12827400323.982744
2005,6406831999.999997,6423692232.0,6542159383.000003,12988582090.487932
2006,6486861999.999999,6502565145.000001,6623847913.000002,13151195604.969973
2007,6569933999.999997,6582438253.0,6706418593.000002,13315011205.981857
2008,6649709000.000003,6663083371.0,6789771253.000003,13481495954.591068
2009,6729132000.000001,6744362187.000001,6873741054.000001,13648272098.220402
2010,6808318000.000009,6826078342.0,6958169158.999998,13815037398.724455
2011,6868647000.000003,6907928139.0,7043008586.000001,13979327270.715631
2012,6953667999.999998,6990183842.0,7128176935.000002,14139155376.154467
2013,7034942999.999997,7072456670.999999,7213426452.000002,14309730233.220165
2014,7116690000.000002,7154701081.0,7298453032.999993,14481696261.478325
